Location,Treatment,Count,Start time,End time,Point no.
SBS,C,1,09:30,09:40,1
SBS,C,1,09:30,09:40,1
SBS,C,1,09:30,09:40,1
SBS,C,1,09:46,09:56,3
SBS,C,1,09:46,09:56,3
SBS,C,1,09:46,09:56,3
SBS,C,1,09:46,09:56,3
SBS,C,1,09:46,09:56,3
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,10:58,11:08,2
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:20,11:30,3
SBS,O,1,11:35,11:45,1
SBS,O,1,11:35,11:45,1
SBS,O,1,11:35,11:45,1
SBS,O,1,11:35,11:45,1
SBS,O,1,11:35,11:45,1
SBN,C,1,07:49,07:59,3
SBN,C,1,07:49,07:59,3
SBN,C,1,07:49,07:59,3
SBN,C,1,07:49,07:59,3
SBN,C,1,07:49,07:59,3
SBN,C,1,07:49,07:59,3
SBN,C,1,08:04,08:14,2
SBN,C,1,08:04,08:14,2
SBN,C,1,08:04,08:14,2
SBN,C,1,08:04,08:14,2
SBN,C,1,08:04,08:14,2
SBN,C,1,08:21,08:31,1
SBN,C,1,08:21,08:31,1
SBN,C,1,08:21,08:31,1
SBN,C,1,08:21,08:31,1
SBN,C,1,08:21,08:31,1
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:08,09:18,2
SBN,Y,1,09:27,09:37,1
SBN,Y,1,09:27,09:37,1
SBN,Y,1,09:27,09:37,1
SBN,Y,1,09:27,09:37,1
SBN,Y,1,09:27,09:37,1
SBN,Y,1,09:43,09:53,3
SBN,Y,1,09:43,09:53,3
SBN,Y,1,09:43,09:53,3
SBN,Y,1,09:43,09:53,3
